color, c, m, y, k, r, g, b
MOOTONE 001 M,0,4,61,4,246,235,97
MOOTONE 002 M,0,5,71,3,247,234,72
MOOTONE 003 M,0,10,100,1,252,227,0
MOOTONE 004 M,0,13,100,0,254,221,0
MOOTONE 005 M,5,5,100,16,197,169,0
MOOTONE 006 M,7,13,100,28,175,152,0
MOOTONE 007 M,13,18,88,45,137,122,39
MOOTONE 008 M,0,8,71,2,249,229,71
MOOTONE 009 M,0,10,86,2,251,225,34
MOOTONE 010 M,0,14,100,0,254,219,0
MOOTONE 011 M,0,18,100,0,255,209,0
MOOTONE 012 M,2,22,100,8,218,170,0
MOOTONE 013 M,8,21,100,28,170,138,0
MOOTONE 014 M,10,20,100,40,156,132,18
MOOTONE 015 M,0,10,67,2,250,224,83
MOOTONE 016 M,0,12,75,2,251,221,64
MOOTONE 017 M,0,14,86,1,253,218,36
MOOTONE 018 M,0,20,100,0,255,205,0
MOOTONE 019 M,6,27,100,12,201,151,0
MOOTONE 020 M,7,28,100,30,172,132,0
MOOTONE 021 M,17,22,100,47,137,115,34
MOOTONE 022 M,0,13,60,2,251,219,101
MOOTONE 023 M,0,15,66,1,253,215,87
MOOTONE 024 M,0,18,74,0,254,209,65
MOOTONE 025 M,0,22,83,0,255,199,44
MOOTONE 026 M,0,27,100,8,234,170,0
MOOTONE 027 M,6,32,100,24,181,133,0
MOOTONE 028 M,11,31,100,36,154,118,17
MOOTONE 029 M,0,9,55,5,243,221,109
MOOTONE 030 M,0,12,68,5,243,213,78
MOOTONE 031 M,0,14,74,5,243,208,62
MOOTONE 032 M,0,30,100,5,242,169,0
MOOTONE 033 M,2,39,100,10,204,138,0
MOOTONE 034 M,9,38,100,32,160,116,0
MOOTONE 035 M,19,37,100,58,108,87,27
MOOTONE 036 M,0,17,57,1,253,210,110
MOOTONE 037 M,0,22,65,0,255,198,88
MOOTONE 038 M,0,25,75,0,255,191,63
MOOTONE 039 M,0,36,100,0,255,163,0
MOOTONE 040 M,0,44,100,13,222,124,0
MOOTONE 041 M,7,49,100,25,175,109,4
MOOTONE 042 M,19,49,100,54,116,83,28
MOOTONE 043 M,0,18,47,1,253,208,134
MOOTONE 044 M,0,23,57,0,255,197,110
MOOTONE 045 M,0,29,71,0,255,181,73
MOOTONE 046 M,0,38,89,0,255,158,27
MOOTONE 047 M,2,56,100,3,213,120,0
MOOTONE 048 M,9,55,100,39,153,96,23
MOOTONE 049 M,20,55,100,60,110,76,30
MOOTONE 050 M,0,18,62,5,242,199,92
MOOTONE 051 M,0,21,70,5,241,190,72
MOOTONE 052 M,0,25,78,5,241,180,52
MOOTONE 053 M,0,41,100,7,237,139,0
MOOTONE 054 M,4,52,100,8,207,127,0
MOOTONE 055 M,7,50,100,34,167,109,17
MOOTONE 056 M,19,38,90,58,113,92,42
MOOTONE 057 M,0,20,45,0,254,203,139
MOOTONE 058 M,0,24,52,0,255,194,123
MOOTONE 059 M,0,30,64,0,255,178,91
MOOTONE 060 M,0,49,100,0,255,130,0
MOOTONE 061 M,0,50,100,10,229,114,0
MOOTONE 062 M,5,64,100,17,190,106,20
MOOTONE 063 M,8,66,100,41,155,90,26
MOOTONE 064 M,0,13,33,6,239,209,159
MOOTONE 065 M,0,21,48,6,239,190,125
MOOTONE 066 M,0,32,64,7,236,161,84
MOOTONE 067 M,0,49,85,9,232,119,34
MOOTONE 068 M,1,72,100,7,203,96,21
MOOTONE 069 M,6,71,100,31,161,86,28
MOOTONE 070 M,16,67,100,71,96,61,32
MOOTONE 071 M,0,27,44,0,255,185,144
MOOTONE 072 M,0,37,58,0,255,160,106
MOOTONE 073 M,0,50,80,0,255,127,50
