color, c, m, y, k, similar to Pantone
MOOTONE 001 M,0,4,61,4,Pantone 100c
MOOTONE 002 M,0,5,71,3,Pantone 101c
MOOTONE 003 M,0,10,100,1,Pantone 102c
MOOTONE 004 M,0,13,100,0,Pantone Yellow c
MOOTONE 005 M,5,5,100,16,Pantone 103c
MOOTONE 006 M,7,13,100,28,Pantone 104c
MOOTONE 007 M,13,18,88,45,Pantone 105c
MOOTONE 008 M,0,8,71,2,Pantone 106c
MOOTONE 009 M,0,10,86,2,Pantone 107c
MOOTONE 010 M,0,14,100,0,Pantone 108c
MOOTONE 011 M,0,18,100,0,Pantone 109c
MOOTONE 012 M,2,22,100,8,Pantone 110c
MOOTONE 013 M,8,21,100,28,Pantone 111c
MOOTONE 014 M,10,20,100,40,Pantone 112c
MOOTONE 015 M,0,10,67,2,Pantone 113c
MOOTONE 016 M,0,12,75,2,Pantone 114c
MOOTONE 017 M,0,14,86,1,Pantone 115c
MOOTONE 018 M,0,20,100,0,Pantone 116c
MOOTONE 019 M,6,27,100,12,Pantone 117c
MOOTONE 020 M,7,28,100,30,Pantone 118c
MOOTONE 021 M,17,22,100,47,Pantone 119c
MOOTONE 022 M,0,13,60,2,Pantone 120c
MOOTONE 023 M,0,15,66,1,Pantone 121c
MOOTONE 024 M,0,18,74,0,Pantone 122c
MOOTONE 025 M,0,22,83,0,Pantone 123c
MOOTONE 026 M,0,27,100,8,Pantone 124c
MOOTONE 027 M,6,32,100,24,Pantone 125c
MOOTONE 028 M,11,31,100,36,Pantone 126c
MOOTONE 029 M,0,9,55,5,Pantone 127c
MOOTONE 030 M,0,12,68,5,Pantone 128c
MOOTONE 031 M,0,14,74,5,Pantone 129c
MOOTONE 032 M,0,30,100,5,Pantone 130c
MOOTONE 033 M,2,39,100,10,Pantone 131c
MOOTONE 034 M,9,38,100,32,Pantone 132c
MOOTONE 035 M,19,37,100,58,Pantone 133c
MOOTONE 036 M,0,17,57,1,Pantone 134c
MOOTONE 037 M,0,22,65,0,Pantone 135c
MOOTONE 038 M,0,25,75,0,Pantone 136c
MOOTONE 039 M,0,36,100,0,Pantone 137c
MOOTONE 040 M,0,44,100,13,Pantone 138c
MOOTONE 041 M,7,49,100,25,Pantone 139c
MOOTONE 042 M,19,49,100,54,Pantone 140c
MOOTONE 043 M,0,18,47,1,Pantone 1345c
MOOTONE 044 M,0,23,57,0,Pantone 1355c
MOOTONE 045 M,0,29,71,0,Pantone 1365c
MOOTONE 046 M,0,38,89,0,Pantone 1375c
MOOTONE 047 M,2,56,100,3,Pantone 1385c
MOOTONE 048 M,9,55,100,39,Pantone 1395c
MOOTONE 049 M,20,55,100,60,Pantone 1405c
MOOTONE 050 M,0,18,62,5,Pantone 141c
MOOTONE 051 M,0,21,70,5,Pantone 142c
MOOTONE 052 M,0,25,78,5,Pantone 143c
MOOTONE 053 M,0,41,100,7,Pantone 144c
MOOTONE 054 M,4,52,100,8,Pantone 145c
MOOTONE 055 M,7,50,100,34,Pantone 146c
MOOTONE 056 M,19,38,90,58,Pantone 147c
MOOTONE 057 M,0,20,45,0,Pantone 148c
MOOTONE 058 M,0,24,52,0,Pantone 149c
MOOTONE 059 M,0,30,64,0,Pantone 150c
MOOTONE 060 M,0,49,100,0,Pantone 151c
MOOTONE 061 M,0,50,100,10,Pantone 152c
MOOTONE 062 M,5,64,100,17,Pantone 153c
MOOTONE 063 M,8,66,100,41,Pantone 154c
MOOTONE 064 M,0,13,33,6,Pantone 155c
MOOTONE 065 M,0,21,48,6,Pantone 156c
MOOTONE 066 M,0,32,64,7,Pantone 157c
MOOTONE 067 M,0,49,85,9,Pantone 158c
MOOTONE 068 M,1,72,100,7,Pantone 159c
MOOTONE 069 M,6,71,100,31,Pantone 160c
MOOTONE 070 M,16,67,100,71,Pantone 161c
MOOTONE 071 M,0,27,44,0,Pantone 1555c
MOOTONE 072 M,0,37,58,0,Pantone 1565c
MOOTONE 073 M,0,50,80,0,Pantone 1575c
MOOTONE 074 M,0,58,93,0,Pantone 1585c
MOOTONE 075 M,0,56,89,15,Pantone 1595c
MOOTONE 076 M,6,71,100,32,Pantone 1605c
MOOTONE 077 M,10,72,100,46,Pantone 1615c
MOOTONE 078 M,0,25,38,0,Pantone 162c
MOOTONE 079 M,0,38,57,0,Pantone 163c
MOOTONE 080 M,0,50,75,0,Pantone 164c
MOOTONE 081 M,0,60,88,0,Pantone 165c
MOOTONE 082 M,0,64,98,11,Pantone 166c
MOOTONE 083 M,5,77,100,15,Pantone 167c
MOOTONE 084 M,12,80,100,60,Pantone 168c
MOOTONE 085 M,0,36,45,0,Pantone 1625c
MOOTONE 086 M,0,45,57,0,Pantone 1635c
MOOTONE 087 M,0,58,78,0,Pantone 1645c
MOOTONE 088 M,0,70,99,1,Pantone 1655c
MOOTONE 089 M,0,69,98,14,Pantone 1665c
MOOTONE 090 M,5,83,100,27,Pantone 1675c
MOOTONE 091 M,11,82,100,48,Pantone 1685c
MOOTONE 092 M,0,30,33,0,Pantone 169c
MOOTONE 093 M,0,47,55,0,Pantone 170c
MOOTONE 094 M,0,64,78,0,Pantone 171c
MOOTONE 095 M,0,72,91,2,Pantone 172c
MOOTONE 096 M,0,67,85,19,Pantone 173c
MOOTONE 097 M,8,86,100,36,Pantone 174c
MOOTONE 098 M,18,79,78,56,Pantone 175c
MOOTONE 099 M,0,31,27,0,Pantone 176c
MOOTONE 100 M,0,50,45,0,Pantone 177c
MOOTONE 101 M,0,65,64,0,Pantone 178c
MOOTONE 102 M,0,73,77,2,Pantone Warm Red c
MOOTONE 103 M,0,73,78,12,Pantone 179c
MOOTONE 104 M,3,91,86,12,Pantone 180c
MOOTONE 105 M,21,93,88,50,Pantone 181c
MOOTONE 106 M,0,36,29,0,Pantone 1765c
MOOTONE 107 M,0,45,37,0,Pantone 1775c
MOOTONE 108 M,0,71,62,3,Pantone 1785c
MOOTONE 109 M,0,84,77,7,Pantone 1788c
MOOTONE 110 M,0,82,77,18,Pantone 1795c
MOOTONE 111 M,5,96,80,22,Pantone 1805c
MOOTONE 112 M,16,97,86,54,Pantone 1815c
MOOTONE 113 M,0,25,19,2,Pantone 182c
MOOTONE 114 M,0,38,29,1,Pantone 183c
MOOTONE 115 M,0,67,52,4,Pantone 184c
MOOTONE 116 M,0,100,81,11,Pantone 185c
MOOTONE 117 M,2,100,85,6,Pantone 186c
MOOTONE 118 M,7,100,82,26,Pantone 187c
MOOTONE 119 M,16,100,65,58,Pantone 188c
